 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     2      0.807324753599E+08      0.397800000000E+34      0.900302964902E+13      0.119535767329E+14      0.793179252735E+06     -0.597200489347E+06     -0.396268657876E-01     -0.526267872852E-01
     2      0.813631953599E+08      0.397800000000E+34      0.949528103701E+13      0.115665593132E+14      0.767499021136E+06     -0.629860892507E+06     -0.417938105653E-01     -0.509227067398E-01
     2      0.819939153599E+08      0.397800000000E+34      0.997090937514E+13      0.111592870556E+14      0.740474930172E+06     -0.661418234650E+06     -0.438875575219E-01     -0.491294697647E-01
     2      0.826246353599E+08      0.397800000000E+34      0.104290818613E+14      0.107324732023E+14      0.712154309384E+06     -0.691817264901E+06     -0.459044413784E-01     -0.472502169664E-01
     2      0.832553553599E+08      0.397800000000E+34      0.108689962649E+14      0.102868652084E+14      0.682586757986E+06     -0.721004760976E+06     -0.478409314460E-01     -0.452882395070E-01
     2      0.838860753599E+08      0.397800000000E+34      0.112898823314E+14      0.982324343391E+13      0.651824058018E+06     -0.748929622344E+06     -0.496936378047E-01     -0.432469733437E-01
     2      0.845167953599E+08      0.397800000000E+34      0.116910031304E+14      0.934241977616E+13      0.619920083673E+06     -0.775542959668E+06     -0.514593172367E-01     -0.411299932158E-01
     2      0.851475153599E+08      0.397800000000E+34      0.120716563458E+14      0.884523624864E+13      0.586930706966E+06     -0.800798180377E+06     -0.531348789018E-01     -0.389410063880E-01
     2      0.857782353599E+08      0.397800000000E+34      0.124311755053E+14      0.833256350617E+13      0.552913699912E+06     -0.824651070221E+06     -0.547173897480E-01     -0.366838461625E-01
     2      0.864089553599E+08      0.397800000000E+34      0.127689311470E+14      0.780529932028E+13      0.517928633369E+06     -0.847059870661E+06     -0.562040796451E-01     -0.343624651693E-01
     2      0.870396753599E+08      0.397800000000E+34      0.130843319210E+14      0.726436700713E+13      0.482036772735E+06     -0.867985351960E+06     -0.575923462340E-01     -0.319809284492E-01
     2      0.876703953599E+08      0.397800000000E+34      0.133768256249E+14      0.671071381058E+13      0.445300970683E+06     -0.887390881856E+06     -0.588797594824E-01     -0.295434063384E-01
     2      0.883011153599E+08      0.397800000000E+34      0.136459001702E+14      0.614530924352E+13      0.407785557114E+06     -0.905242489674E+06     -0.600640659386E-01     -0.270541671696E-01
     2      0.889318353599E+08      0.397800000000E+34      0.138910844788E+14      0.556914339014E+13      0.369556226521E+06     -0.921508925794E+06     -0.611431926780E-01     -0.245175698010E-01
     2      0.895625553599E+08      0.397800000000E+34      0.141119493071E+14      0.498322517220E+13      0.330679922968E+06     -0.936161716351E+06     -0.621152509317E-01     -0.219380559870E-01
     2      0.901932753598E+08      0.397800000000E+34      0.143081079978E+14      0.438858058238E+13      0.291224722882E+06     -0.949175213071E+06     -0.629785393951E-01     -0.193201426033E-01
     2      0.908239953598E+08      0.397800000000E+34      0.144792171564E+14      0.378625088767E+13      0.251259715852E+06     -0.960526638171E+06     -0.637315472067E-01     -0.166684137400E-01
     2      0.914547153598E+08      0.397800000000E+34      0.146249772522E+14      0.317729080606E+13      0.210854883670E+06     -0.970196124226E+06     -0.643729565951E-01     -0.139875126776E-01
     2      0.920854353598E+08      0.397800000000E+34      0.147451331425E+14      0.256276665972E+13      0.170080977792E+06     -0.978166748946E+06     -0.649016451874E-01     -0.112821337586E-01
     2      0.927161553598E+08      0.397800000000E+34      0.148394745191E+14      0.194375450781E+13      0.129009395464E+06     -0.984424564794E+06     -0.653166879757E-01     -0.855701416913E-02
     2      0.933468753598E+08      0.397800000000E+34      0.149078362761E+14      0.132133826229E+13      0.877120547054E+05     -0.988958623401E+06     -0.656173589386E-01     -0.581692564582E-02
     2      0.939775953598E+08      0.397800000000E+34      0.149500987988E+14      0.696607789952E+12      0.462612683889E+05     -0.991760994723E+06     -0.658031323142E-01     -0.306666612170E-02
     2      0.946083153598E+08      0.397800000000E+34      0.149661881732E+14      0.706570040558E+11      0.472961762197E+04     -0.992826780922E+06     -0.658736835220E-01     -0.311051325797E-03
     2      0.952390353598E+08      0.397800000000E+34      0.149560763145E+14     -0.555418051117E+12     -0.368101753410E+05     -0.992154124931E+06     -0.658288897339E-01      0.244509364867E-02
     2      0.958697553598E+08      0.397800000000E+34      0.149197810164E+14     -0.118052111945E+13     -0.782853744341E+05     -0.989744213698E+06     -0.656688300907E-01      0.519694279283E-02
